AMOONIA(PPM),CO2(PPM),SO2(PPM),TEMPERATURE(CELCIUS),HUMIDITY(%),DUST DENSITY(UG/M3),,,,
8.33,63.45,129.15,32.2,51.1,9.03,,,,
7.84,63.45,129.15,32.2,51.1,9.86,,,,
8.33,63.45,129.15,32.2,51.1,9.03,,,,
8.33,63.45,129.15,32.2,51.1,9.86,,,,
8.33,63.45,129.15,32.3,51,8.2,,,,
7.84,63.45,129.15,32.3,51,9.03,,,,
8.33,63.45,129.15,32.2,51.1,9.03,,,,
8.33,63.45,129.15,32.2,51.1,9.03,,,,
8.33,63.45,129.15,32.2,51.1,9.03,,,,
8.33,63.45,129.15,32.2,51.1,9.03,,,,
8.33,63.45,129.15,32.2,51.1,9.03,,,,
8.33,63.45,129.15,32.2,51.1,9.03,,,,
8.33,63.45,129.15,32.2,51.1,8.2,,,,
8.33,63.45,129.15,32.2,51.1,16.5,,,,
8.33,63.45,129.15,32.2,51.1,9.86,,,,
8.33,63.45,129.15,32.2,51.1,10.69,,,,
8.33,63.45,129.15,32.2,51.1,9.03,,,,
8.33,63.45,129.15,32.2,51.1,9.86,,,,
8.33,63.45,129.15,32.2,51.1,9.86,,,,
8.33,63.45,129.15,32.2,51.1,9.03,,,,
8.33,63.45,129.15,32.2,51.1,9.03,,,,
8.33,63.45,129.15,32.2,51.1,9.03,,,,
8.33,63.45,129.15,32.2,51.1,9.03,,,,
8.33,63.45,129.15,32.2,51.1,9.03,,,,
8.83,63.45,129.15,32.2,51.1,9.03,,,,
8.33,63.45,129.15,32.2,51.1,9.03,,,,
8.33,63.45,129.15,32.2,51.1,9.03,,,,
8.83,63.45,129.15,32.2,51.1,9.03,,,,
8.33,63.45,129.15,32.2,51.1,10.69,,,,
8.33,63.45,129.15,32.2,51.1,9.03,,,,
8.33,63.45,129.15,32.2,51.1,9.03,,,,
8.33,63.45,129.15,32.2,51.1,9.86,,,,
8.33,63.45,129.15,32.2,51.1,9.03,,,,
8.33,63.45,129.15,32.2,51.1,9.03,,,,
8.83,63.45,129.15,32.2,51.2,10.69,,,,
8.33,63.45,129.15,32.2,51.2,9.03,,,,
8.33,63.45,129.15,32.3,51.1,9.03,,,,
8.33,63.45,129.15,32.3,51.1,9.86,,,,
8.33,63.45,129.15,32.2,51.2,9.86,,,,
8.33,63.45,129.15,32.2,51.2,9.03,,,,
8.83,63.45,129.15,32.2,51.2,9.86,,,,
8.33,63.45,129.15,32.2,51.2,9.03,,,,
